|ID|translation
43|ID_17379526335181|"{'dyu': 'I laanibala KO a bi na diya n ye wa', 'fr': ""tu es sûr qu'on aimerait.""}"
44|ID_19704320336268|"{'dyu': ""o b'a kunko ye"", 'fr': 'À ses risques et périls...'}"
45|ID_17334775337332|{'dyu': 'Ni kado ni ye ele ni nne ta ye.', 'fr': 'Ce cadeau est à toi et à moi.'}
46|ID_17761297338417|{'dyu': 'ɲiningali te nin ye.', 'fr': 'Ce n’est pas la question.'}
47|ID_17858473733998|{'dyu': 'Nin bi se ka min kɛ', 'fr': 'Ce que cela peut faire ?…'}
48|ID_17418810343976|{'dyu': 'Anw be ɲɔgɔnw kalan.', 'fr': 'nous, nous lisons.'}
49|ID_18006429345312|{'dyu': 'I bi na subagaya ko juma le kɛ', 'fr': 'Quel charlatan tu ferais !…'}
50|ID_17323953346647|{'dyu': 'Awɔ kuma ɲanama lo wɛ.', 'fr': 'Belle proposition en effet'}
51|ID_18022387347915|"{'dyu': ""O k'a bugɔ fo ka tɛmɛ."", 'fr': 'Il a été très frappé.'}"
52|ID_18644156349617|{'dyu': 'I be se ka n ka dudu minɛ wa?', 'fr': 'Tu peux tenir mon doudou?'}
53|ID_19320684735089|{'dyu': 'Dɔgɔcɛ be Deliponti bolo.', 'fr': 'Delliponti a un petit frère.'}
54|ID_18481425352045|{'dyu': 'Biwɔrɔ ni tan ni kelen', 'fr': 'Soixante et onze.'}
55|ID_17681903353156|{'dyu': 'N bi na sira kɛ seen na.', 'fr': 'Je ferai la route à pied.'}
56|ID_18720313354224|{'dyu': 'A bi na kan labɔ tumawɛrɛ', 'fr': 'Bientôt il éleva le ton.'}
57|ID_18686625735531|{'dyu': 'An bina italiyen dumuni dumu.', 'fr': 'On se fait un italien?'}
58|ID_19840528360127|"{'dyu': ""A ko a b'a yɛrɛ bila ka timi dɛ."", 'fr': 'Quelle négligence, se dit-il.'}"
59|ID_19794889363863|{'dyu': 'A ma sɔn o ma.', 'fr': 'Ça ne compte pas.'}
60|ID_18006215365289|"{'dyu': ""N t'a famu na."", 'fr': 'Je ne comprends pas !…'}"
61|ID_18925301736647|{'dyu': 'A ka sigilan ye brukig ye', 'fr': 'Son siège est Brookings.'}
62|ID_18000476.73679|{'dyu': 'Miselin ka bɛ ɲafɔ nn ɲana', 'fr': 'Micheline m’a tout dit.'}
63|ID_18186671369447|{'dyu': 'I le lo ka fɔ ko i bi na n kɔnɔ', 'fr': 'Tu avais promis de m’attendre.'}
64|ID_17437515370722|{'dyu': 'N bi taga salɛm sini wulafɛ', 'fr': 'Je pars à Salem demain soir.'}
65|ID_19864356371867|{'dyu': 'Saraya bi a la', 'fr': 'Elle est admirable.'}
66|ID_17973552737304|{'dyu': 'A suma ni bɛ dɛ.', 'fr': 'Que c’est froid !'}
67|ID_18421065374182|{'dyu': 'A tun be tulo kɛ no ye', 'fr': 'Il jouait avec eux.'}
68|ID_19304679375252|{'dyu': 'A ka laban bila a la samiɲatuman na.', 'fr': 'Il met fin à sa saison.'}
69|ID_17430884376475|{'dyu': 'A be mɔgɔ fɛ ɲanaman.', 'fr': 'Vous êtes très aimable.'}
70|ID_18602527378304|{'dyu': 'So ni be panna.', 'fr': 'La jument bondit.'}
71|ID_19790140382352|{'dyu': 'Muso juman le ye nin ye?', 'fr': 'Quelle est cette femme?'}
72|ID_17823503383525|"{'dyu': 'An ka dasi fila filɛ nin ye.', 'fr': ""Voilà vos deux francs …'.""}"
73|ID_17759390384694|{'dyu': 'A ma foyi lɔn.', 'fr': 'Elle ne sait jamais rien !'}
74|ID_17437505738583|{'dyu': 'Vɔyaji kun be di le ?', 'fr': 'Comment était le voyage ?'}
75|ID_19960529738696|{'dyu': 'Duniya ka jan tuma dɔ la.', 'fr': 'La vie est parfois si longue.'}
76|ID_17385076388096|{'dyu': 'Bon nunu kɔnɔ.', 'fr': 'Dans les maisons.'}
77|ID_17814898389598|{'dyu': 'Puɛn fila fɔlɔ.', 'fr': 'Deux points d’avance.'}
78|ID_17436800739078|{'dyu': 'Sɛnkɛri lo be yi', 'fr': 'il est cinq heures.'}
79|ID_17333126391868|"{'dyu': 'I kɔrɔmuso tɔgɔ be di?', 'fr': ""Comment s'appelle votre sœur ?""}"
80|ID_17334946393157|{'dyu': 'Miniti kelen biloru.', 'fr': 'Une minute cinquante.'}
81|ID_17406207394269|{'dyu': 'A cɛ ma ɲi.', 'fr': 'Il ne fait pas beau.'}
82|ID_18077281395513|"{'dyu': 'N dusukun tun degun na.', 'fr': ""J'avais le cœur serré.""}"
83|ID_18022638739966|{'dyu': 'Nn darala ko a tun bi na diya i ye', 'fr': 'Je suis sûr qu’il aurait aimé.'}
84|ID_18602514400465|{'dyu': 'Somuso panna.', 'fr': 'La jument bondit.'}
85|ID_18073625401073|"{'dyu': ""Taaga! Nn b'i gwɛna"", 'fr': 'Va-t’en ! je te chasse.'}"
86|ID_18085070401662|{'dyu': 'A bi se ka boyi.', 'fr': 'Il peut donc être retiré.'}
87|ID_18576522402227|"{'dyu': ""Ɛsk ele y'i ka kalandenw sɔrɔ wa?"", 'fr': ""T'as eu des étudiants toi?""}"
88|ID_18727683402923|{'dyu': 'A ka gwɛlɛ', 'fr': 'C’est difficile.'}
89|ID_18252480403526|{'dyu': 'A be kumana telefoni na', 'fr': 'Il parle dans le téléphone.'}
90|ID_18653154740423|"{'dyu': 'Cɛ toyi! Yɛrɛ don bali lo', 'fr': ""Audace n'est pas déraison""}"
91|ID_17731781404912|{'dyu': 'A fɔ mɔgɔ duuru nun nu ɲana', 'fr': 'Dis-leur à tous les cinq.'}
92|ID_17333039405477|{'dyu': 'Aa kungolo saaba', 'fr': 'Vos trois têtes.'}
93|ID_17343822740609|"{'dyu': 'Fo n be se a yɔrɔla', 'fr': ""il faut que j'y arrive.""}"
94|ID_18143504406635|{'dyu': 'A lajabi ni yɛrɛ faga ye', 'fr': 'Il répond malaisément.'}
95|ID_17353777407184|{'dyu': 'Kongo sogo nɛrɛmuguma dɔ filɛ', 'fr': 'Un autre animal jaune.'}
96|ID_18420968407722|{'dyu': 'Zipu suguya bɛ', 'fr': 'Une jupe quelconque.'}
97|ID_18031566408266|{'dyu': 'Nne ye parantɛsu datugu.', 'fr': 'Je clos la parenthèse.'}
98|ID_17358537409098|{'dyu': 'ɛsk n ka sumanikɛfɛn di ma wa?', 'fr': 'Je vous ai donné la balance ?'}
99|ID_18420423409787|{'dyu': 'Boon tan ni wolofila', 'fr': 'Dix-sept maisons.'}
100|ID_17409553741044|"{'dyu': 'Londres be n ka sii yɔrɔ ye', 'fr': ""J'habite à Londres.""}"
101|ID_19485650410996|{'dyu': 'A sigila layɔrɔ da kuna', 'fr': 'Il s’assit près du lit.'}
102|ID_18055554741154|{'dyu': 'N be boli ka n teriw hakili sigi', 'fr': 'Je cours rassurer nos amis.'}
103|ID_18301296412078|{'dyu': 'A bi nana wa?', 'fr': 'Est-ce qu’il viendra ?'}
104|ID_19679926412622|{'dyu': 'A sara Milana.', 'fr': 'Il est mort à Milan.'}
105|ID_18905431413156|{'dyu': 'A be famu', 'fr': 'C’est compréhensible.'}
106|ID_17310429413692|{'dyu': 'Aw ka kan ka jati minɛ', 'fr': 'Il faut en tenir compte.'}
107|ID_17761330414222|{'dyu': 'A be tan le lonbɛ yan', 'fr': 'C’est toujours comme ça ici ?'}
108|ID_18118948414834|{'dyu': 'Aw ka lɔn joli le be nin ye wa?', 'fr': 'Vous savez combien il coûte ?'}
109|ID_18173557415485|{'dyu': 'N ti mɔgɔ si kɔnɔ na.', 'fr': 'Je n’attends personne.'}
110|ID_18027672416115|{'dyu': 'Nin te tulonkɛ fen ye', 'fr': 'Ce n’est pas d’un jeu.'}
111|ID_17350233416663|"{'dyu': ""Ka n'a bugɔ"", 'fr': 'Ne le frappez pas.'}"
112|ID_17361239417195|{'dyu': 'N bi na aw ye kɔfɛ.', 'fr': 'Je vous verrai plus tard.'}
113|ID_17321759741779|{'dyu': 'N ma la a la.', 'fr': 'Je n’en suis pas sûre'}
114|ID_18020863418368|{'dyu': 'Sigilan karila', 'fr': 'La chaise est cassée.'}
115|ID_18899384741929|{'dyu': 'Ni an tun ye pidiza kɔmande do', 'fr': 'Et si on commandait une pizza?'}
116|ID_17358536419908|{'dyu': 'I ka lon cogo mina o bi gwakɛ?', 'fr': 'Vous savez comment cuisiner ?'}
117|ID_18047036420523|{'dyu': 'I baleman muso fɛ', 'fr': 'J’aimerais ta sœur.'}
118|ID_18420420421076|{'dyu': 'Saan tun finna.', 'fr': 'Le ciel était sombre.'}
119|ID_17346576421625|{'dyu': 'Aw be baara juman le la.', 'fr': 'Quel métier faites-vous ?'}
120|ID_18064778422268|{'dyu': 'I be na sogo dɔ ta tuguni wa?', 'fr': 'Tu reprendras de la viande ?'}
121|ID_18607133422817|{'dyu': 'A bi sufri kalivisi la.', 'fr': 'Il souffre de calvitie.'}
122|ID_18694129423346|"{'dyu': ""I b'a famuna sisan wa?"", 'fr': 'Tu comprends, maintenant?'}"
123|ID_18419983423875|{'dyu': 'Papiliɔn deni', 'fr': 'Un tout petit petit papillon.'}
124|ID_17861581742448|{'dyu': 'Marcof tun ye a lamagalamagali la lɔ', 'fr': 'Marcof les calma du geste.'}
125|ID_17362696425027|{'dyu': 'Kitabuw do?', 'fr': 'Où sont les livres ?'}
126|ID_18231513425563|{'dyu': 'N bo le natala', 'fr': 'En tout cas, je le souhaite.'}
127|ID_18124160426095|{'dyu': 'N be na feen fila jatiminɛ', 'fr': 'Je ferai deux remarques.'}
128|ID_17358576426708|{'dyu': 'U lɔn ka tɛmɛ', 'fr': 'Ils sont extrèmement connus.'}
129|ID_19096398742728|{'dyu': 'Kititigɛbagaw tɔw tun kɛrɛnkɛrɛnla mɔgɔw bolo', 'fr': 'Les autres juges étaient élus.'}
130|ID_17364533427917|{'dyu': 'A daminnɛ ma ɲɛ', 'fr': 'Cela commence mal'}
131|ID_18007108742847|{'dyu': 'Aa ni teri ni ye teri ɲuman le ye dɛ!', 'fr': 'Mais cet ami est sacré.'}
132|ID_17823643429342|{'dyu': 'A ka KO dɔ fɔ', 'fr': 'Il a dit quelque chose ?'}
133|ID_18718652429929|{'dyu': 'Sizo be n boro', 'fr': 'J’ai une paire de ciseaux.'}
134|ID_17366616430475|{'dyu': 'An ga mɔgɔw bila makɔnɔlila', 'fr': 'On fait attendre les gens.'}
135|ID_18693155743101|{'dyu': 'Nɔnɔ litri demi', 'fr': 'un demi litre de lait'}
136|ID_17527805431545|{'dyu': 'A ɲana kɔsɔbɛ', 'fr': 'C’est assez bon.'}
137|ID_19910635432082|"{'dyu': ""A be donna Pari djamanana foyi t'a bolo."", 'fr': 'Ruiné, il rentre à Paris.'}"
138|ID_17378398432618|"{'dyu': 'Den joli le ?', 'fr': ""Combien d'enfants ?""}"
139|ID_18006958743315|{'dyu': 'N yala a be angilɛ kan fɔ wa?', 'fr': 'Vous parlez anglais ?'}
140|ID_17507684433844|{'dyu': 'Koo ɲafu ɲafu.', 'fr': 'N’importe quoi !'}
141|ID_17672217434468|"{'dyu': ""Musuw ko ma d'an ye le tuguni wa"", 'fr': 'Il n’aime donc pas sa femme ?'}"
142|ID_17490230435033|"{'dyu': 'An tun bi tagala', 'fr': ""nous étions en train d'aller.""}"
143|ID_17409875435622|"{'dyu': ""Fugulan b'o kelen kelen bɛ kun na"", 'fr': 'Ils ont chacun un chapeau.'}"
144|ID_17788843436218|{'dyu': 'A cɛjuguni filɛ!', 'fr': 'Qu’est-ce que c’est mauvais !'}
145|ID_17470636436776|{'dyu': 'Kulɛri juman le?', 'fr': 'De quelle couleur il est ?'}
146|ID_18420983437322|"{'dyu': ""Mariamou, musu mi n'a ma cɛ don"", 'fr': 'La Vierge Marie.'}"
147|ID_17406946437866|{'dyu': 'Bonni bi na diya i ye dɛ.', 'fr': 'Cette maison te plaira.'}
148|ID_17358499743844|"{'dyu': ""O lugu o k'a kanu"", 'fr': 'elles, elles ont aimé.'}"
149|ID_17355458439315|"{'dyu': ""I lanibala ko i bi n'a kanou wa ?"", 'fr': 'tu es sûr que tu aimeras.'}"
150|ID_17358637440004|{'dyu': 'Anw be bara kɛ min?', 'fr': 'Où travaillez-vous ?'}
151|ID_17410816440562|{'dyu': 'N te fɛ ka taga.', 'fr': 'je ne veux pas partir.'}
152|ID_17404531441113|{'dyu': 'A tagara.', 'fr': 'elle est partie.'}
153|ID_18122137441654|"{'dyu': ""Yal'a ka dumini kɛ ɲɔgɔn fɛ wa"", 'fr': 'Vous avez mangé ensemble ?'}"
154|ID_17358832442195|{'dyu': 'Aw ka lɔn cogo juman?', 'fr': 'Comment le savez-vous ?'}
155|ID_17361227442737|"{'dyu': 'Jɔn ka tur lo ka tulon kɛ?', 'fr': ""C'est à qui de jouer ?""}"
156|ID_17739049443283|{'dyu': 'A sigila tuguni o kɔfɛ a ye a bolo filaw minɛ ɲongonma', 'fr': 'Il se rassit, croisa les bras.'}
157|ID_17358497443824|"{'dyu': ""I lanibala k'a tun diara i ye wa?"", 'fr': 'tu es sûr que tu aimas.'}"
158|ID_18252900444425|{'dyu': 'An bi se ka an hakili sigi', 'fr': 'Nous y serons attentifs.'}
159|ID_19818992445018|"{'dyu': 'Barakɛyɔrɔ le.', 'fr': ""C'est un centre industriel.""}"
160|ID_17333022445648|{'dyu': 'Denmisɛnw aw ye na dumuni kɛ.', 'fr': 'Les enfants, venez manger.'}
161|ID_18576273446187|"{'dyu': ""O b'a tanuna."", 'fr': 'Ils la complimentaient.'}"
162|ID_18818274446723|{'dyu': 'A be bɔ kini fɛ.', 'fr': 'Il sort par la droite.'}
163|ID_18021248447343|{'dyu': 'A be sɔgɔsɔgɔla tuguni.', 'fr': 'Il toussa encore.'}
164|ID_18052767447877|{'dyu': 'Kungolola ani dusukunna.', 'fr': 'Dans la tête et le cœur.'}
165|ID_17354401448409|{'dyu': 'Aw ye ɲamɔgɔ boɲɛ.', 'fr': 'Respectez le ministre'}
166|ID_18110360449121|{'dyu': 'Nin bɛgɛnkolon lo ye.', 'fr': 'Quel stupide animal !'}
167|ID_17418424449694|{'dyu': 'An ti na kuma foyi fɔ ni koni na tugun.', 'fr': 'Pas un mo sur ça.'}
168|ID_18402775450244|{'dyu': 'Sama den naani.', 'fr': 'Quatre éléphants.'}
169|ID_18684386745079|"{'dyu': ""N k'o ka ciikan sɔrɔ sɔgɔma."", 'fr': ""J'ai reçu leur offre ce matin.""}"
170|ID_18054468745143|{'dyu': 'I ba laban la tile biduuru', 'fr': 'Tu le traites quinze jours…'}
171|ID_18078452451982|{'dyu': 'Ole cɔ n baw barikadala.', 'fr': 'C’est exact, je vous remercie.'}
172|ID_18476833452528|{'dyu': 'A ye don a ye sigi.', 'fr': 'Entrez, asseyez-vous.'}
173|ID_17323282453084|{'dyu': 'Ni bɛ ye sigɛni ko le ye o.', 'fr': 'Tout cela est aléatoire.'}
174|ID_17303156745368|{'dyu': 'O ma sɔn a la.', 'fr': 'Il a été refusé.'}
175|ID_18475140454267|{'dyu': 'An be jigɛw minɛ ni jɔrɔkɔw ye.', 'fr': 'Nous pêchions avec des filets.'}
176|ID_17413004454896|{'dyu': 'A min tiena fo ka tɛmɛ', 'fr': 'Le plus rouillé.'}
177|ID_18407278455444|{'dyu': 'Sama binaani ni naani', 'fr': 'Quarante-quatre éléphants.'}
178|ID_18032265455974|{'dyu': 'N tɔgɔ ye John Smith', 'fr': 'Je m’appelle John Smith.'}
179|ID_18080319745651|{'dyu': 'Nin ma deri ka kɛ', 'fr': 'Cela n’a jamais vu le jour.'}
180|ID_17676008745714|{'dyu': 'Baba grelys denmuso', 'fr': 'La fille au père Greluche !'}
181|ID_17717456.74577|"{'dyu': ""Ka na to ki' kun kɛ ni togoya ni na"", 'fr': 'Cesse de faire la tête !'}"
182|ID_17332264458253|"{'dyu': ""N dalebala k'a ba kanu"", 'fr': ""je suis sûr qu'on aime.""}"
183|ID_17511089458901|{'dyu': 'Mu le kɛra?', 'fr': 'Qu’est-ce qui s’est passé ?'}
184|ID_18466464745946|{'dyu': 'O ya', 'fr': 'Leur.'}
185|ID_17842798746003|{'dyu': 'Wagati kunkuruni di n man', 'fr': 'Accordez-moi un petit moment.'}
186|ID_18492451460554|"{'dyu': ""A ma ben a ye a kan kɔrɔta n'a ye"", 'fr': ""Pas possible ! s'écria-t-elle.""}"
187|ID_17589780461143|{'dyu': 'A keleen tɛ', 'fr': 'Ce n’est pas la seule.'}
188|ID_18060906461681|{'dyu': 'A ye jigini sɔrɔ wagati la', 'fr': 'Il a obtenu une prolongation.'}
189|ID_18173400746221|{'dyu': 'I muso teyi tuguni le wa', 'fr': 'Votre femme n’est plus là ?'}
190|ID_18765086462864|{'dyu': 'Ne bi aw Kɔnɔna', 'fr': 'Moi, je vous attends.'}
191|ID_17467867.74634|"{'dyu': 'Badenmuso fila le bi n bolo.', 'fr': ""J'ai deux sœurs.""}"
192|ID_18848707746394|{'dyu': 'A n kɛra sɔrɔbagaw cɛ !', 'fr': 'Eh bien, j’ai gagné !…'}
193|ID_18666815464547|{'dyu': 'A ɲadenw fanin be kasi la.', 'fr': 'Elle fondit en pleurs.'}
194|ID_18540090465098|"{'dyu': 'Isa ma sɔn ko mɔgɔ wɛrɛ ye jalaki.', 'fr': ""Jésus défend d'accuser autrui.""}"
195|ID_17359166465644|"{'dyu': ""I lanibala k'a diara anw ye wa ?"", 'fr': 'tu es sûr que nous aimions.'}"
196|ID_18116396466178|{'dyu': 'A ye finɛtri kari.', 'fr': 'Il a brisé la fenêtre.'}
197|ID_17365049466717|{'dyu': 'Gari bi yɔrɔ juman le?', 'fr': 'Où est la gare routière ?'}
198|ID_17528367467256|{'dyu': 'Ji te anw fɛ.', 'fr': 'On manque d’eau.'}
199|ID_18169786467797|"{'dyu': ""Wa i k'o nɛni."", 'fr': 'Et tu les as insultés.'}"
200|ID_17515332746842|{'dyu': 'A be sɛbɛnan Ɛl la.', 'fr': 'Mais dans l’article L.'}
201|ID_19083616469094|{'dyu': 'A cɛɲani no kosɔbɛ', 'fr': 'Elle est richement dotée.'}
202|ID_17379336746965|"{'dyu': 'I lanibala ko a diala i ye wa', 'fr': ""tu es sûr qu'ils aimaient.""}"
203|ID_18475218470188|{'dyu': 'Ji kaɲi ka bɔn fɛrɛla feenw la', 'fr': 'Il faut arroser ces plantes.'}
204|ID_17343742470722|{'dyu': 'A ye Nin kitabu ni faa sɛbɛra', 'fr': 'Remplissez ce formulaire.'}
205|ID_17427817747125|"{'dyu': 'A ba yɛrɛ sɔrɔla kɔsɔbɛ', 'fr': ""Il s'en tire bien.""}"
206|ID_18466457747183|"{'dyu': ""N'a tun ka jigɛ ɲini jira"", 'fr': 'Si elle pêchait.'}"
207|ID_17337128472384|{'dyu': 'A bi na da ɲɛlɛ wagati juma', 'fr': 'Quand ouvrez-vous la porte ?'}
208|ID_18497582472963|{'dyu': 'Ni o lo n bi na n lafiɛn bi', 'fr': 'Annule. Je prends ma journée.'}
209|ID_18729979747354|{'dyu': 'A bi lamɛnikɛ o kɔ fɛ a bi la batoni kɛ', 'fr': 'Il écoute et il obéit.'}
210|ID_18456418474177|{'dyu': 'A ko dira n ye Kosɔbɛ', 'fr': 'Elle me plaît bien à moi.'}
211|ID_18063972474794|{'dyu': 'I lanibala ko a bi na kanu wa?', 'fr': 'Tu es sûr qu’elle aimera.'}
212|ID_17759392475336|{'dyu': 'A ka a yɛrɛ bɔ a ra', 'fr': 'Il s’est retiré.'}
213|ID_17365699747587|"{'dyu': 'A bi na bɛɛn wa', 'fr': ""C'est possible ?""}"
214|ID_17365488476404|{'dyu': 'I ka lynɛti', 'fr': 'ta paire de lunettes.'}
215|ID_17870380476933|{'dyu': 'Sisan n ga tanti do', 'fr': 'Alors, où est ma tante ?'}
216|ID_18014453747746|{'dyu': 'Yala aw bi ka angilɛ kan fɔ wa', 'fr': 'Vous apprenez l’anglais ?'}
217|ID_18633486477994|{'dyu': 'Tlera bi tagara wagati juma ?', 'fr': 'À quelle heure le déjeuner ?'}
218|ID_17362306478526|{'dyu': 'Kilomɛtri kelen sira la', 'fr': 'Un kilomètre de route.'}
219|ID_18405681479174|{'dyu': 'Kunu n tun be jigɛ ɲinina', 'fr': 'Hier je pêchais.'}
220|ID_18653204.74798|{'dyu': 'I ko di ni n ye gilasi dɔ san?', 'fr': 'Et si on s’achetait une glace?'}
221|ID_17340220480364|"{'dyu': ""Mu le b'a Kɔnɔ?"", 'fr': ""Qu'est-ce qu'il y a dedans ?""}"
222|ID_17915020748095|{'dyu': 'Yala aw ka mɛ wa?', 'fr': 'Vous avez entendu ?'}
223|ID_17359089481484|"{'dyu': 'A tun ma lamɛnikɛ', 'fr': ""Ils ne l'avaient pas écouté.""}"
224|ID_17407353482018|{'dyu': 'Wagati joli tuguni ?', 'fr': 'Combien de temps encore ?'}
225|ID_18052717482543|{'dyu': 'N tun bo filɛla ni filɛli ye', 'fr': 'Je jetai un regard sur eux.'}
226|ID_17349707483072|"{'dyu': 'A ye taga ka bɔ yan', 'fr': ""allez-vous en d'ici.""}"
227|ID_19908997483635|{'dyu': 'A tun ti na furu kɛ abada', 'fr': 'Il ne se serait jamais marié.'}
228|ID_17379715484174|{'dyu': 'A bi na yɛrɛ yila cogo juma?', 'fr': 'Comment se présenter ?'}
229|ID_17354089484775|"{'dyu': 'Nafolo ti n bolo', 'fr': ""Je n'ai pas d'argent sur moi.""}"
230|ID_17385721485383|{'dyu': 'Boon fenɛtri', 'fr': 'La fenêtre de la maison.'}
231|ID_18464637485967|{'dyu': 'I lanibara ka fɔ ko an kadi ɲɔngɔn ye', 'fr': 'Tu es sûr que nous aimions.'}
232|ID_18053792486515|{'dyu': 'A ba tɔ kunu na', 'fr': 'Il avale le reste de la tasse.'}
233|ID_17409438487073|"{'dyu': 'Nɔnɔ mi kaɲi', 'fr': ""C'est bon de manger du lait.""}"
234|ID_17863339748762|{'dyu': 'A tun be mi?', 'fr': 'Où avez-vous été ?'}
235|ID_17351812488153|{'dyu': 'A tɛmɛna yan le fɛ', 'fr': 'elles est passée par là.'}
236|ID_19364149748869|{'dyu': 'I ni ce adama deen ya la', 'fr': 'Merci en toute humilité.'}
237|ID_17913040489383|"{'dyu': 'N ti na se ka n yɛrɛ sɔrɔ tuguni', 'fr': ""Je ne m'en relèverais pas.""}"
238|ID_18218336489972|{'dyu': 'An bi angilɛ kan fɔ', 'fr': 'Parlons anglais.'}
239|ID_18122123490516|{'dyu': 'Ji be yi', 'fr': 'Il y a de l’eau ?'}
240|ID_17590059491138|{'dyu': 'Markof bi a lakɔrɔsila', 'fr': 'Marcof remarqua le mouvement.'}
241|ID_18108358491689|{'dyu': 'An ye a filɛ ka na dimi', 'fr': 'Voyons, ne te fâche pas…'}
242|ID_18482925749223|{'dyu': 'An be a degila a ni ka falen', 'fr': 'Échange et formation.'}
243|ID_17485272492762|{'dyu': 'Lɛtri mugan ni kelen', 'fr': 'vingt et une lettres.'}
244|ID_17365148493303|{'dyu': 'Sama mugan ni kelen', 'fr': 'quarante et un éléphants.'}
